,SEASON,SEASON_AND1,GAME_TYPE_CODE,TEAM_ABBR,WIN_pct,WIN_pct_at_HOME,WINS_at_AWAY,GAMES_at_AWAY,WIN_pct_at_AWAY,d_PTS_per_GAME,FGM_per_GAME,FGA_per_GAME,PTS_per_GAME,PTS_opp_per_GAME,POS,POS_opp,OFF_EFF,OFF_EFF_opp,DEF_EFF,DEF_EFF_opp,SEASON_AND1_TEAM
0,2003,2004,2,CHA,0.5,0.6585365853658537,16.0,41.0,0.3902439024390244,-0.6341463414634146,34.670731707317074,79.92682926829268,92.8170731707317,94.26829268292683,7274.9568,7299.5328,104.27358552444974,105.35954070444795,105.39115431495492,104.54323893921702,2004_CHA
1,2002,2003,2,ATL,0.42700000000000005,0.634,,,0.415,-3.5610000000000004,34.866,78.46300000000001,94.073,97.634,7438.8859999999995,7476.210999999999,103.698,107.086,107.624,103.181,2003_ATL
2,2002,2003,2,BOS,0.537,0.61,,,0.146,-0.39,32.927,79.378,92.671,93.061,7376.986,7435.161999999999,103.01,102.634,103.443,102.204,2003_BOS
3,2002,2003,2,CHI,0.366,0.659,,,0.585,-5.1339999999999995,36.476,81.878,94.95100000000001,100.085,7683.034000000001,7642.906,101.34,107.381,106.82,101.87200000000001,2003_CHI
4,2002,2003,2,CLE,0.207,0.341,,,0.268,-9.622,34.756,82.26799999999999,91.402,101.024,7693.709,7672.666,97.417,107.96799999999999,107.67200000000001,97.684,2003_CLE
5,2002,2003,2,DAL,0.732,0.805,,,0.146,7.78,38.549,85.146,102.976,95.195,7495.603,7537.996999999999,112.65299999999999,103.555,104.141,112.01899999999999,2003_DAL
6,2002,2003,2,DEN,0.207,0.317,,,0.22,-8.28,32.793,79.805,84.15899999999999,92.439,7449.6,7352.909000000001,92.63600000000001,103.088,101.75,93.854,2003_DEN
7,2002,2003,2,DET,0.61,0.732,,,0.244,3.6830000000000003,32.927,76.54899999999999,91.366,87.68299999999999,7091.75,7097.088000000001,105.64399999999999,101.309,101.385,105.564,2003_DET
8,2002,2003,2,GSW,0.46299999999999997,0.585,,,0.244,-1.1340000000000001,37.329,84.646,102.439,103.573,7680.076999999999,7688.602,109.374,110.462,110.585,109.25299999999999,2003_GSW
9,2002,2003,2,HOU,0.524,0.6829999999999999,,,0.317,1.476,34.634,78.793,93.756,92.28,7307.866,7275.071999999999,105.20200000000001,104.01299999999999,103.546,105.676,2003_HOU
10,2002,2003,2,IND,0.585,0.78,,,0.39,3.488,35.5,80.585,96.829,93.34100000000001,7500.71,7505.741,105.85700000000001,101.975,102.044,105.786,2003_IND
11,2002,2003,2,LAC,0.32899999999999996,0.39,,,0.122,-4.122,34.573,79.146,93.81700000000001,97.939,7421.645,7439.27,103.656,107.954,108.211,103.411,2003_LAC
12,2002,2003,2,LAL,0.61,0.7559999999999999,,,0.293,2.329,37.695,83.61,100.366,98.037,7590.49,7580.659000000001,108.425,106.046,105.90899999999999,108.566,2003_LAL
13,2002,2003,2,MEM,0.341,0.488,,,0.293,-3.2319999999999998,37.183,82.23200000000001,97.5,100.73200000000001,7597.286,7579.545999999999,105.235,108.978,108.723,105.48100000000001,2003_MEM
14,2002,2003,2,MIA,0.305,0.39,,,0.171,-5.0489999999999995,32.78,79.476,85.561,90.61,7179.994000000001,7147.93,97.71600000000001,103.946,103.48200000000001,98.154,2003_MIA
15,2002,2003,2,MIL,0.512,0.61,,,0.195,0.23199999999999998,37.134,81.34100000000001,99.488,99.256,7371.686,7423.834,110.667,109.633,110.40899999999999,109.889,2003_MIL
16,2002,2003,2,MIN,0.622,0.805,,,0.366,2.073,38.683,83.037,98.12200000000001,96.04899999999999,7466.342,7517.107,107.764,104.774,105.48700000000001,107.036,2003_MIN
17,2002,2003,2,BKN,0.598,0.805,,,0.415,5.22,35.439,80.305,95.366,90.146,7460.928000000001,7431.398,104.81299999999999,99.47,99.07600000000001,105.229,2003_BKN
18,2002,2003,2,NOP,0.573,0.7070000000000001,,,0.268,2.11,35.537,81.646,93.89,91.78,7344.384,7345.92,104.82799999999999,102.45100000000001,102.473,104.806,2003_NOP
19,2002,2003,2,NYK,0.451,0.585,,,0.268,-1.354,36.183,82.012,95.854,97.20700000000001,7435.008000000001,7379.443,105.71600000000001,108.016,107.209,106.512,2003_NYK
20,2002,2003,2,ORL,0.512,0.634,,,0.244,0.134,35.939,82.476,98.512,98.37799999999999,7580.89,7602.24,106.557,106.113,106.412,106.258,2003_ORL
21,2002,2003,2,PHI,0.585,0.61,,,0.049,2.305,36.28,80.976,96.84100000000001,94.537,7489.267,7445.184,106.03200000000001,104.12100000000001,103.508,106.66,2003_PHI
22,2002,2003,2,PHX,0.537,0.732,,,0.39,1.1340000000000001,36.646,82.634,95.537,94.402,7471.986999999999,7474.637,104.845,103.564,103.6,104.80799999999999,2003_PHX
23,2002,2003,2,POR,0.61,0.659,,,0.098,2.61,36.427,79.15899999999999,95.15899999999999,92.54899999999999,7299.533,7322.842,106.897,103.635,103.96600000000001,106.557,2003_POR
24,2002,2003,2,SAC,0.72,0.8540000000000001,,,0.268,6.5,39.537,85.244,101.73200000000001,95.23200000000001,7764.557,7781.069,107.43700000000001,100.359,100.572,107.209,2003_SAC
25,2002,2003,2,SAS,0.732,0.805,,,0.146,5.415,35.463,76.793,95.805,90.39,7313.626,7362.509,107.416,100.67200000000001,101.345,106.70299999999999,2003_SAS
26,2002,2003,2,OKC,0.488,0.61,,,0.244,-0.122,35.207,80.476,92.134,92.256,7204.031999999999,7196.39,104.87200000000001,105.12200000000001,105.01100000000001,104.98299999999999,2003_OKC
27,2002,2003,2,TOR,0.293,0.366,,,0.146,-5.8660000000000005,34.72,81.268,90.89,96.756,7342.81,7300.954000000001,101.501,108.671,108.051,102.083,2003_TOR
28,2002,2003,2,UTA,0.573,0.7070000000000001,,,0.268,2.39,35.293,75.476,94.65899999999999,92.26799999999999,7272.5380000000005,7279.603,106.73,103.934,104.035,106.62700000000001,2003_UTA
29,2002,2003,2,WAS,0.451,0.561,,,0.22,-1.012,34.341,77.976,91.488,92.5,7186.445,7216.781,104.391,105.102,105.546,103.95200000000001,2003_WAS
30,2003,2004,2,ATL,0.34146341463414637,0.43902439024390244,10.0,41.0,0.24390243902439024,-4.646341463414634,34.5,79.6219512195122,92.8170731707317,97.46341463414635,7373.222400000001,7382.0928,103.22488034539687,108.26198229315133,108.39222752863115,103.10084424839525,2004_ATL
31,2003,2004,2,BKN,0.573170731707317,0.6829268292682927,19.0,41.0,0.4634146341463415,2.5,34.23170731707317,77.48780487804878,90.2560975609756,87.7560975609756,7163.712,7155.647999999999,103.31236096593497,100.56391818043595,100.45071605335335,103.4287880007513,2004_BKN
32,2003,2004,2,BOS,0.43902439024390244,0.4634146341463415,17.0,41.0,0.4146341463414634,-1.451219512195122,34.670731707317074,78.23170731707317,95.2560975609756,96.70731707317073,7463.807999999999,7526.054399999999,104.6516737836772,105.36729577718707,106.2460341959493,103.7861219817917,2004_BOS
33,2003,2004,2,CHI,0.2804878048780488,0.34146341463414637,9.0,41.0,0.21951219512195122,-6.353658536585366,34.1219512195122,82.35365853658537,89.6951219512195,96.04878048780488,7449.9072,7460.851199999999,98.72606198369827,105.56436241484082,105.71943768641843,98.58124499252848,2004_CHI
34,2003,2004,2,CLE,0.4268292682926829,0.5609756097560976,12.0,41.0,0.2926829268292683,-2.6219512195121952,35.63414634146341,82.35365853658537,92.91463414634147,95.53658536585365,7387.392000000001,7374.336,103.13517950583912,106.2332934110949,106.04554354229477,103.31777667846976,2004_CLE
35,2003,2004,2,DAL,0.6341463414634146,0.8780487804878049,16.0,41.0,0.3902439024390244,4.439024390243903,40.51219512195122,88.17073170731707,105.1951219512195,100.7560975609756,7523.2896,7536.4992,114.65729034277771,109.6264960792406,109.81898131370617,114.456324761502,2004_DAL
